epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.391,1.85438,2.55599,2.06565,0.07365,0.18195,0.02638,0.00579,3.03018,inf,3.64314,0.000464425,0.000464425,0.000464425
2,57.2844,1.99008,2.58058,2.22072,0.09235,0.20578,0.06761,0.01684,3.35559,9.22615,4.19243,0.000922131,0.000922131,0.000922131
3,83.0237,2.04317,2.64758,2.24405,0.16838,0.1304,0.07392,0.03301,3.14213,8.66432,3.822,0.00136097,0.00136097,0.00136097
4,108.663,2.0409,2.57522,2.21805,0.04881,0.15802,0.02816,0.0107,2.80427,6.53026,3.65668,0.00134412,0.00134412,0.00134412
5,133.871,1.97379,2.51334,2.17886,0.11216,0.18059,0.07328,0.02879,2.9813,7.85858,3.73626,0.00131582,0.00131582,0.00131582
6,158.433,1.91404,2.45737,2.15556,0.22874,0.32955,0.13308,0.07218,2.53438,8.88957,3.20017,0.00128753,0.00128753,0.00128753
7,189.451,1.91358,2.40268,2.11456,0.1792,0.19815,0.05606,0.02412,2.83562,16.2418,3.45418,0.00125923,0.00125923,0.00125923
8,214.485,1.87482,2.40806,2.06606,0.36843,0.26708,0.25705,0.10808,2.24069,2.67148,2.7368,0.00123094,0.00123094,0.00123094
9,240.968,1.88949,2.42952,2.10261,0.90506,0.15766,0.21924,0.09521,2.39568,2.82172,2.87505,0.00120265,0.00120265,0.00120265
10,265.589,1.81104,2.26109,2.04648,0.38916,0.35425,0.25789,0.11243,2.36265,2.91768,2.86922,0.00117435,0.00117435,0.00117435
11,291.198,1.81205,2.24306,2.02628,0.24744,0.35469,0.2514,0.1218,2.27561,2.68622,2.72856,0.00114606,0.00114606,0.00114606
12,317.071,1.77577,2.28475,2.0259,0.37933,0.31549,0.2907,0.13243,2.185,2.54149,2.65589,0.00111776,0.00111776,0.00111776
13,344.781,1.75941,2.22037,1.99217,0.28449,0.41327,0.35104,0.17859,2.12702,2.2514,2.66513,0.00108947,0.00108947,0.00108947
